user_id,location,language,account_created,follower_count,location_was_null,language_was_null,account_created_was_null,total_posts,total_likes,total_shares,total_comments,avg_likes,platforms_used,engagement_score
user_guglt5jp,"Berlin, Germany",ja,2023-10-23,38963.0,0,0,0,9.0,18670.0,10349.0,4805.0,2074.4444444444443,5.0,5102.9222222222215
user_b1p3wz81,"Munich, Germany",zh,2023-05-06,24644.0,0,0,0,8.0,20504.0,6826.0,2644.0,2563.0,3.0,3858.1000000000004
user_jm2grmis,"Dubai, UAE",en,2023-01-03,45842.0,0,0,0,5.0,19154.0,4206.0,3105.0,3830.8,3.0,3798.2
user_ykoqww5l,"Paris, France",fr,2023-10-11,665.0,0,0,0,7.0,12704.0,8240.0,3611.0,1814.857142857143,3.0,4101.628571428571
user_3zzvv8vp,"Los Angeles, USA",ru,2023-05-23,42908.0,0,0,0,13.0,30175.0,11198.0,6722.0,2321.153846153846,5.0,5864.376923076923
user_s4nmuyvf,"Mumbai, India",zh,2023-03-17,43412.0,0,0,0,4.0,6629.0,5092.0,1505.0,1657.25,3.0,2657.225
user_9vo7he3z,"Rio de Janeiro, Brazil",en,2023-12-01,36257.0,0,0,0,11.0,23272.0,13072.0,4972.0,2115.6363636363635,3.0,5973.818181818182
user_guruu55k,"Mexico City, Mexico",en,2023-03-30,11260.0,0,0,0,12.0,20371.0,12288.0,5499.0,1697.5833333333333,5.0,5634.991666666667
user_8nvzxsuj,"Vancouver, Canada",es,2023-12-03,36383.0,0,0,0,9.0,18105.0,11133.0,3792.0,2011.6666666666667,3.0,5104.133333333333
user_rgmvy3e1,"London, UK",ja,2023-12-21,13458.0,0,0,0,4.0,7349.0,4048.0,2374.0,1837.25,3.0,2607.825
user_j0akync6,"Houston, USA",en,2023-10-23,28544.0,0,0,0,13.0,31778.0,12151.0,4459.0,2444.4615384615386,5.0,5759.330769230769
user_dxhhp9fo,"Manchester, UK",fr,2023-03-03,3852.0,0,0,0,9.0,24267.0,9551.0,4594.0,2696.3333333333335,3.0,5132.266666666666
user_eci1w7hz,"Seoul, South Korea",ru,2023-02-04,43692.0,0,0,0,3.0,4617.0,3691.0,2136.0,1539.0,2.0,2304.0
user_cefi5hpb,"Johannesburg, South Africa",es,2023-07-26,15895.0,0,0,0,11.0,27539.0,10704.0,6145.0,2503.5454545454545,4.0,5691.972727272727
user_wzdzaxo6,"Dubai, UAE",de,2023-03-27,13486.0,0,0,0,3.0,6287.0,1389.0,567.0,2095.6666666666665,3.0,1577.9333333333334
user_urkhf34q,"Manchester, UK",ar,2023-02-18,24177.0,0,0,0,10.0,20926.0,9033.0,4680.0,2092.6,5.0,4692.2
user_4y5xrp4d,"São Paulo, Brazil",ar,2023-07-02,18904.0,0,0,0,7.0,14187.0,9817.0,4559.0,2026.7142857142858,4.0,4870.257142857143
user_5805b7s5,"Osaka, Japan",de,2023-07-29,29193.0,0,0,0,7.0,22667.0,7915.0,4092.0,3238.1428571428573,4.0,4811.971428571429
user_ju8hqhh7,"São Paulo, Brazil",pt,2023-08-10,11133.0,0,0,0,10.0,20082.0,9412.0,5313.0,2008.2,5.0,4890.3
user_0xtn0q1z,"Mexico City, Mexico",zh,2023-02-13,4956.0,0,0,0,8.0,13646.0,5658.0,5171.0,1705.75,5.0,3584.4749999999995
user_vdzbq60d,"São Paulo, Brazil",de,2023-05-21,25387.0,0,0,0,6.0,12028.0,5868.0,2563.0,2004.6666666666667,4.0,3275.333333333333
user_3nei5tio,"Rome, Italy",ja,2023-06-06,27945.0,0,0,0,8.0,18791.0,7864.0,2920.0,2348.875,3.0,4117.6375
user_8hs083wf,"Mexico City, Mexico",ja,2023-11-26,36208.0,0,0,0,5.0,5560.0,4333.0,2080.0,1112.0,4.0,2271.8999999999996
user_g62nc9bm,"Osaka, Japan",pt,2023-05-18,29261.0,0,0,0,10.0,23516.0,10927.0,5002.0,2351.6,5.0,5454.299999999999
user_u6wmhba1,"Rio de Janeiro, Brazil",fr,2023-05-07,26788.0,0,0,0,7.0,9630.0,5169.0,4041.0,1375.7142857142858,5.0,3046.7571428571428
user_rawskkbp,"Mexico City, Mexico",ja,2023-04-03,19554.0,0,0,0,11.0,30995.0,12599.0,5738.0,2817.7272727272725,4.0,6336.163636363636
user_6wra58f7,"Johannesburg, South Africa",en,2023-12-29,4953.0,0,0,0,14.0,25128.0,16270.0,7128.0,1794.857142857143,5.0,7204.028571428572
user_20v16n7o,"Osaka, Japan",es,2023-06-23,35772.0,0,0,0,8.0,15349.0,7655.0,4143.0,1918.625,4.0,4084.4125
user_8hwimj2y,"Barcelona, Spain",hi,2023-07-09,34130.0,0,0,0,5.0,11102.0,6007.0,2130.0,2220.4,4.0,3338.3
user_34h6otv1,"Mumbai, India",hi,2023-09-01,825.0,0,0,0,7.0,21368.0,4923.0,3046.0,3052.5714285714284,4.0,3612.385714285714
user_rd4m435g,"Mumbai, India",en,2023-05-09,41448.0,0,0,0,10.0,24539.0,11826.0,4105.0,2453.9,5.0,5595.75
user_baflpt2a,"Shanghai, China",zh,2023-05-14,2528.0,0,0,0,4.0,13914.0,4374.0,1853.0,3478.5,3.0,3422.0499999999997
user_3rnkw0w0,"London, UK",en,2023-08-30,16930.0,0,0,0,9.0,22975.0,7293.0,3723.0,2552.777777777778,4.0,4208.88888888889
user_wdvt8sn8,"Lagos, Nigeria",hi,2023-10-18,44991.0,0,0,0,7.0,7610.0,10189.0,2852.0,1087.142857142857,3.0,4170.671428571428
user_6ftbnlhg,"Seoul, South Korea",ru,2023-04-22,42376.0,0,0,0,9.0,24730.0,9036.0,4797.0,2747.777777777778,3.0,5044.088888888889
user_p9zkwsde,"Tokyo, Japan",zh,2023-01-28,22530.0,0,0,0,12.0,21158.0,11940.0,5269.0,1763.1666666666667,5.0,5517.383333333333
user_jqhen223,"Rome, Italy",pt,2023-08-25,1386.0,0,0,0,7.0,12897.0,5604.0,2518.0,1842.4285714285713,4.0,3106.0142857142855
user_qjq1xtnb,"Vancouver, Canada",ar,2023-06-20,9994.0,0,0,0,8.0,16652.0,7274.0,3106.0,2081.5,3.0,3844.1499999999996
user_giqj8qez,"New York, USA",pt,2023-03-08,30904.0,0,0,0,7.0,23383.0,6072.0,2887.0,3340.4285714285716,5.0,4069.214285714286
