user_id,location,language,account_created,follower_count,location_was_null,language_was_null,account_created_was_null
user_guglt5jp,"Berlin, Germany",ja,2023-10-23,38963.0,0,0,0
user_b1p3wz81,"Munich, Germany",zh,2023-05-06,24644.0,0,0,0
user_jm2grmis,"Dubai, UAE",en,2023-01-03,45842.0,0,0,0
user_ykoqww5l,"Paris, France",fr,2023-10-11,665.0,0,0,0
user_3zzvv8vp,"Los Angeles, USA",ru,2023-05-23,42908.0,0,0,0
user_s4nmuyvf,"Mumbai, India",zh,2023-03-17,43412.0,0,0,0
user_9vo7he3z,"Rio de Janeiro, Brazil",en,2023-12-01,36257.0,0,0,0
user_guruu55k,"Mexico City, Mexico",en,2023-03-30,11260.0,0,0,0
user_8nvzxsuj,"Vancouver, Canada",es,2023-12-03,36383.0,0,0,0
user_rgmvy3e1,"London, UK",ja,2023-12-21,13458.0,0,0,0
user_j0akync6,"Houston, USA",en,2023-10-23,28544.0,0,0,0
user_dxhhp9fo,"Manchester, UK",fr,2023-03-03,3852.0,0,0,0
user_eci1w7hz,"Seoul, South Korea",ru,2023-02-04,43692.0,0,0,0
user_cefi5hpb,"Johannesburg, South Africa",es,2023-07-26,15895.0,0,0,0
user_wzdzaxo6,"Dubai, UAE",de,2023-03-27,13486.0,0,0,0
user_urkhf34q,"Manchester, UK",ar,2023-02-18,24177.0,0,0,0
user_4y5xrp4d,"São Paulo, Brazil",ar,2023-07-02,18904.0,0,0,0
user_5805b7s5,"Osaka, Japan",de,2023-07-29,29193.0,0,0,0
user_ju8hqhh7,"São Paulo, Brazil",pt,2023-08-10,11133.0,0,0,0
user_0xtn0q1z,"Mexico City, Mexico",zh,2023-02-13,4956.0,0,0,0
user_vdzbq60d,"São Paulo, Brazil",de,2023-05-21,25387.0,0,0,0
user_3nei5tio,"Rome, Italy",ja,2023-06-06,27945.0,0,0,0
user_8hs083wf,"Mexico City, Mexico",ja,2023-11-26,36208.0,0,0,0
user_g62nc9bm,"Osaka, Japan",pt,2023-05-18,29261.0,0,0,0
user_u6wmhba1,"Rio de Janeiro, Brazil",fr,2023-05-07,26788.0,0,0,0
user_rawskkbp,"Mexico City, Mexico",ja,2023-04-03,19554.0,0,0,0
user_6wra58f7,"Johannesburg, South Africa",en,2023-12-29,4953.0,0,0,0
user_20v16n7o,"Osaka, Japan",es,2023-06-23,35772.0,0,0,0
user_8hwimj2y,"Barcelona, Spain",hi,2023-07-09,34130.0,0,0,0
user_34h6otv1,"Mumbai, India",hi,2023-09-01,825.0,0,0,0
user_rd4m435g,"Mumbai, India",en,2023-05-09,41448.0,0,0,0
user_baflpt2a,"Shanghai, China",zh,2023-05-14,2528.0,0,0,0
user_3rnkw0w0,"London, UK",en,2023-08-30,16930.0,0,0,0
user_wdvt8sn8,"Lagos, Nigeria",hi,2023-10-18,44991.0,0,0,0
user_6ftbnlhg,"Seoul, South Korea",ru,2023-04-22,42376.0,0,0,0
user_p9zkwsde,"Tokyo, Japan",zh,2023-01-28,22530.0,0,0,0
user_jqhen223,"Rome, Italy",pt,2023-08-25,1386.0,0,0,0
user_qjq1xtnb,"Vancouver, Canada",ar,2023-06-20,9994.0,0,0,0
user_giqj8qez,"New York, USA",pt,2023-03-08,30904.0,0,0,0
user_yhkk65jx,"Dubai, UAE",zh,2023-03-04,19947.0,0,0,0
user_n7owi8hd,"Beijing, China",fr,2023-12-29,40734.0,0,0,0
user_q3dvjt5a,"Barcelona, Spain",en,2023-01-02,25339.0,0,0,0
user_uwu8hunq,"Melbourne, Australia",es,2023-04-12,47367.0,0,0,0
user_weam2ohn,"Lyon, France",en,2023-04-14,12261.0,0,0,0
user_v4objqex,"Madrid, Spain",hi,2023-11-15,16772.0,0,0,0
user_lgnt3fch,"Johannesburg, South Africa",fr,2023-03-29,46078.0,0,0,0
user_d1drdipk,"Berlin, Germany",fr,2023-03-14,12883.0,0,0,0
user_ll36h5wt,"Tokyo, Japan",ru,2023-07-02,29890.0,0,0,0
user_abawq3v4,"Barcelona, Spain",fr,2023-11-16,27400.0,0,0,0
user_668nidxi,"São Paulo, Brazil",pt,2023-07-24,17277.0,0,0,0
user_tbi3l8f9,"Milan, Italy",pt,2023-03-11,5446.0,0,0,0
