post_id,anomaly_type
dvvhg8eel45x,Missing Platform
f85c8vm8ac8l,Missing Platform
cvdgyqy7xoq6,Missing Platform
cpiun4hvwfns,Missing Platform
mbykzpzh1l1y,Negative Likes (Imputation Artifact)
i6io9jo0vpxa,Missing Platform
d25e0a89eti4,Missing Platform
sqdh2jbaeloe,Missing Platform
juovcq3m427s,Missing Platform
ym0fk6gqthz3,Missing Platform
df1al5tr1oca,Missing Platform
2r1k9opcv2z7,Missing Platform
5gyyfd2wv95z,Missing Platform
w0lnzrqoiyej,Missing Platform
59gdx6c1r4pz,Missing Platform
gqndmf8vvpb2,Missing Platform
zg7a98dozipg,Missing Platform
wal886ggp7kg,Negative Likes (Imputation Artifact)
l8jdu7zmt65h,Missing Platform
3u65pggx1zxm,Missing Platform
